,step,loss,moving ave loss
0,1,110.6552734375,110.65527343750001
1,2,69.29052734375,106.51879882812501
2,3,42.25225830078125,100.09214477539065
3,4,11.760417938232422,91.25897209167483
4,5,7.104640960693359,82.84353897857669
5,6,4.250384330749512,74.98422351379396
8,7,3.894798994064331,67.87528106182101
9,8,4.547098636627197,61.54246281930163
10,9,3.734790325164795,55.76169556988795
11,10,4.295098781585693,50.61503589105772
12,11,3.40230655670166,45.89376295762212
13,12,7.040428161621094,42.008429478022016
16,13,3.9098916053771973,38.19857569075754
17,14,7.640555381774902,35.14277365985927
18,15,2.9186887741088867,31.920365171284235
19,16,3.657956123352051,29.09412426649102
20,17,3.2376418113708496,26.508476020979003
21,18,3.6559665203094482,24.223225070912047
24,19,6.321597099304199,22.43306227375126
25,20,3.967332124710083,20.586489258847145
26,21,3.4322447776794434,18.871064810730374
27,22,3.3311710357666016,17.317075433234
28,23,3.8830208778381348,15.973669977694414
29,24,3.384528636932373,14.71475584361821
32,25,6.94899320602417,13.938179579858806
33,26,3.5306639671325684,12.897428018586181
34,27,3.7219667434692383,11.979881891074488
35,28,2.7836649417877197,11.060260196145812
36,29,2.757742166519165,10.230008393183148
37,30,3.891500234603882,9.596157577325222
40,31,3.0145394802093506,8.937995767613636
41,32,2.8562326431274414,8.329819455165016
42,33,3.708204507827759,7.8676579604312895
43,34,3.28838849067688,7.409731013455849
44,35,6.670281410217285,7.335786053131993
45,36,3.255585193634033,6.9277659671821965
48,37,3.3676602840423584,6.571755398868214
49,38,3.087833881378174,6.2233632471192095
50,39,2.7283334732055664,5.873860269727845
51,40,3.8351545333862305,5.669989696093683
52,41,3.3202898502349854,5.435019711507814
53,42,3.200550079345703,5.211572748291603
56,43,2.614283800125122,4.951843853474956
57,44,2.932239294052124,4.749883397532673
58,45,2.63435435295105,4.538330493074511
59,46,3.1102428436279297,4.395521728129853
60,47,7.0238423347473145,4.658353788791599
61,48,3.3613693714141846,4.528655347053858
64,49,2.5702338218688965,4.332813194535362
65,50,6.864502906799316,4.585982165761758
66,51,3.9116764068603516,4.518551589871617
67,52,3.3026418685913086,4.396960617743586
68,53,2.295164108276367,4.1867809667968645
69,54,3.0798752307891846,4.076090393196097
72,55,2.779538631439209,3.946435217020408
73,56,2.892733573913574,3.841065052709725
74,57,2.618931770324707,3.7188517244712234
75,58,2.13107967376709,3.56007451940081
76,59,2.2701222896575928,3.4310792964264887
77,60,2.972158193588257,3.3851871861426654
80,61,2.7283883094787598,3.319507298476275
81,62,2.5228006839752197,3.2398366370261695
82,63,2.7082014083862305,3.1866731141621756
83,64,2.3282766342163086,3.100833466167589
84,65,2.346207618713379,3.0253708814221683
85,66,5.910523414611816,3.313886134741133
88,67,2.6525163650512695,3.2477491577721467
89,68,2.862731456756592,3.209247387670591
90,69,1.9237127304077148,3.0806939219443037
91,70,2.2607390880584717,2.9986984385557203
92,71,2.1045522689819336,2.9092838215983416
93,72,2.719362497329712,2.890291689171479
96,73,2.5920729637145996,2.8604698166257907
97,74,2.0139546394348145,2.7758182989066933
98,75,1.3555576801300049,2.6337922370290245
99,76,6.606377124786377,3.03105072580476
100,77,1.537194848060608,2.881665138030345
101,78,2.557468891143799,2.8492455133416903
104,79,1.673596978187561,2.731680659826277
105,80,2.428755283355713,2.701388122179221
106,81,2.082246780395508,2.6394739880008498
107,82,2.177731513977051,2.59329974059847
108,83,2.109088897705078,2.544878656309131
109,84,1.2189046144485474,2.4122812521230728
112,85,2.0385913848876953,2.374912265399535
113,86,2.4906866550445557,2.386489704364037
114,87,1.4953469038009644,2.2973754243077296
115,88,2.0545382499694824,2.273091706873905
116,89,1.8749186992645264,2.2332744061129675
117,90,2.385948896408081,2.248541855142479
120,91,2.0028092861175537,2.2239685982399866
121,92,2.3488106727600098,2.236452805691989
122,93,1.64223313331604,2.177030838454394
123,94,4.795596122741699,2.4388873668831246
124,95,1.9629063606262207,2.3912892662574343
125,96,1.7457998991012573,2.326740329541817
128,97,2.1288838386535645,2.306954680452992
129,98,1.8117793798446655,2.257437150392159
130,99,1.7659947872161865,2.208292914074562
131,100,1.9799977540969849,2.1854633980768043
132,101,1.717740774154663,2.1386911356845903
133,102,4.407792568206787,2.3656012789368104
136,103,1.877860188484192,2.316827169891549
137,104,2.6367034912109375,2.3488148020234876
138,105,1.942089557647705,2.3081422775859095
139,106,1.9639208316802979,2.2737201329953485
140,107,4.128711223602295,2.4592192420560433
141,108,2.0951950550079346,2.4228168233512326
144,109,1.224114179611206,2.3029465589772298
145,110,1.8416320085525513,2.2568151039347617
146,111,2.4684197902679443,2.27797557256808
147,112,3.9761736392974854,2.4477953792410205
148,113,2.376375675201416,2.44065340883706
149,114,1.2942681312561035,2.3260148810789643
152,115,1.6232378482818604,2.2557371777992543
153,116,4.515277862548828,2.481691246274212
154,117,1.7452706098556519,2.408049182632356
155,118,2.155672073364258,2.3828114717055464
156,119,1.4061076641082764,2.2851410909458196
157,120,1.5980932712554932,2.216436308976787
